,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375
0,0.5678777888774103,0.5353619729873462,0.6611119373388855,0.6595578028951021,0.4691355387084493,0.4525676932583619
1,0.5186423663033795,0.5282948777126588,0.6433273844933571,0.6519135435256791,0.41377242097604405,0.4244991850024018
2,0.5526027705267673,0.5558431534585525,0.6458258972833631,0.663962423160817,0.44448609471717215,0.4656403923003213
3,0.5151403911685384,0.49804322885070057,0.6427771167955583,0.6456970057505453,0.41037522829993966,0.4049438351650501
4,0.5724000488185805,0.6054285769885324,0.6624578623835019,0.686416815387666,0.4681187698466191,0.5112509003676671
5,0.5074850500620067,0.4849181803221745,0.6528256989886972,0.6406429704540948,0.43921396592517875,0.4068019055791755
6,0.4261784328031073,0.39784265207232977,0.6201789609359508,0.6120017846519928,0.3551603674509596,0.3335423117847939
7,0.541903910315363,0.4990221922163601,0.6556018243109261,0.6314197898076541,0.44664956583229287,0.3870573156810761
8,0.3953604801728614,0.3835030218449582,0.6009022407297244,0.6035197303192545,0.31010367216129847,0.312378930945755
9,0.4863263194484921,0.4823777938461031,0.6312487606583382,0.6360995439222685,0.39334421690328447,0.39126454563259905
