bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b32,2.22,2,uM,2.22 uM,6 h,6,h,YAPC,BRD-K16189898,3,0.76,271,0.458904,0,"0.33,0.33,0.34",0.176056,0.176056,0.748973,0.822086,3.08,14.2693,1,1,BRD-K16189898,LPROT004_YAPC_6H:BRD-K16189898:2,trt_cp,YAPC,P19|P21|P23,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:P19|LPROT004_YAPC_6H_X1_B32:P21|LPROT004_YAPC_6H_X1_B32:P23,,LPROT,CHIR-99021,1,1,0,1,177,CHIR-99021_2.22 uM_6 h_YAPC,1,CHIR-99021_2.22 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-A67788537,3,0.59,197,0.344738,0,"0.33,0.33,0.34",0.176056,0.176056,0.591775,0.729717,3.08,14.2693,1,1,BRD-A67788537,LPROT004_YAPC_6H:BRD-A67788537:10,trt_cp,YAPC,G20|G22|G24,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:G20|LPROT004_YAPC_6H_X1_B32:G22|LPROT004_YAPC_6H_X1_B32:G24,,LPROT,salermide,1,1,0,1,177,salermide_10 uM_6 h_YAPC,1,salermide_10 uM_6 h
b32,25,25,uM,25 uM,6 h,6,h,YAPC,BRD-K68548958,3,0.76,363,0.531118,0,"0.33,0.34,0.33",0.176056,0.176056,0.742497,0.886948,3.08,14.2693,1,1,BRD-K68548958,LPROT004_YAPC_6H:BRD-K68548958:25,trt_cp,YAPC,F13|F15|F17,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:F13|LPROT004_YAPC_6H_X1_B32:F15|LPROT004_YAPC_6H_X1_B32:F17,,LPROT,C-646,1,1,0,1,177,C-646_25 uM_6 h_YAPC,1,C-646_25 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-K07691486,3,0.6,260,0.399386,0,"0.36,0.32,0.33",0.176056,0.176056,0.567467,0.75726,3.08,14.2693,1,1,BRD-K07691486,LPROT004_YAPC_6H:BRD-K07691486:10,trt_cp,YAPC,F19|F21|F23,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:F19|LPROT004_YAPC_6H_X1_B32:F21|LPROT004_YAPC_6H_X1_B32:F23,,LPROT,roscovitine,1,1,0,1,177,roscovitine_10 uM_6 h_YAPC,1,roscovitine_10 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-K80738081,3,0.78,394,0.560565,0,"0.34,0.34,0.32",0.176056,0.176056,0.743376,0.803121,3.08,14.2693,1,1,BRD-K80738081,LPROT004_YAPC_6H:BRD-K80738081:10,trt_cp,YAPC,C20|C22|C24,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:C20|LPROT004_YAPC_6H_X1_B32:C22|LPROT004_YAPC_6H_X1_B32:C24,,LPROT,resveratrol,1,1,0,1,177,resveratrol_10 uM_6 h_YAPC,1,resveratrol_10 uM_6 h
b32,1.11,1,uM,1.11 uM,6 h,6,h,YAPC,BRD-A13254067,3,0.89,494,0.670485,0,"0.33,0.34,0.33",0.176056,0.176056,0.877201,0.941836,3.08,14.2693,1,1,BRD-A13254067,LPROT004_YAPC_6H:BRD-A13254067:1,trt_cp,YAPC,P13|P15|P17,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:P13|LPROT004_YAPC_6H_X1_B32:P15|LPROT004_YAPC_6H_X1_B32:P17,,LPROT,okadaic-acid,1,1,0,1,177,okadaic-acid_1.11 uM_6 h_YAPC,1,okadaic-acid_1.11 uM_6 h
b32,2.22,2,uM,2.22 uM,6 h,6,h,YAPC,BRD-K11528507,3,0.71,274,0.446,0,"0.33,0.35,0.32",0.176056,0.176056,0.694742,0.846567,3.08,14.2693,1,1,BRD-K11528507,LPROT004_YAPC_6H:BRD-K11528507:2,trt_cp,YAPC,I20|I22|I24,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:I20|LPROT004_YAPC_6H_X1_B32:I22|LPROT004_YAPC_6H_X1_B32:I24,,LPROT,geldanamycin,1,1,0,1,177,geldanamycin_2.22 uM_6 h_YAPC,1,geldanamycin_2.22 uM_6 h
b32,4,5,uM,4 uM,6 h,6,h,YAPC,BRD-K98203492,3,0.56,182,0.32282,0.176056,"0.32,0.34,0.34",0.880282,3.16901,0.514277,0.626926,3.08,14.2693,1,1,BRD-K98203492,LPROT004_YAPC_6H:BRD-K98203492:5,trt_cp,YAPC,K14|K16|K18,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:K14|LPROT004_YAPC_6H_X1_B32:K16|LPROT004_YAPC_6H_X1_B32:K18,,LPROT,GSK-J4,1,1,0,1,177,GSK-J4_4 uM_6 h_YAPC,1,GSK-J4_4 uM_6 h
b32,12,12,uM,12 uM,6 h,6,h,YAPC,BRD-K90860366,3,0.57,171,0.315694,0.0880282,"0.33,0.34,0.33",0.704225,0.528169,0.570497,0.716433,3.08,14.2693,1,1,BRD-K90860366,LPROT004_YAPC_6H:BRD-K90860366:12,trt_cp,YAPC,O14|O16|O18,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:O14|LPROT004_YAPC_6H_X1_B32:O16|LPROT004_YAPC_6H_X1_B32:O18,,LPROT,BRD-K90860366,1,1,0,1,177,BRD-K90860366_12 uM_6 h_YAPC,1,BRD-K90860366_12 uM_6 h
b32,10,10,uM,10 uM,6 h,6,h,YAPC,BRD-K93023739,3,0.62,151,0.309396,0,"0.33,0.34,0.33",0.176056,0.176056,0.613864,0.746467,3.08,14.2693,1,1,BRD-K93023739,LPROT004_YAPC_6H:BRD-K93023739:10,trt_cp,YAPC,P20|P22|P24,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:P20|LPROT004_YAPC_6H_X1_B32:P22|LPROT004_YAPC_6H_X1_B32:P24,,LPROT,BRD-K93023739,1,1,0,1,177,BRD-K93023739_10 uM_6 h_YAPC,1,BRD-K93023739_10 uM_6 h
b32,25,25,uM,25 uM,6 h,6,h,YAPC,BRD-K01567962,3,0.66,266,0.423685,0,"0.33,0.34,0.34",0.176056,0.176056,0.643478,0.814272,3.08,14.2693,1,1,BRD-K01567962,LPROT004_YAPC_6H:BRD-K01567962:25,trt_cp,YAPC,N08|N10|N12,LPROT004_YAPC_6H_X1_B32,LPROT004_YAPC_6H_X1_B32:N08|LPROT004_YAPC_6H_X1_B32:N10|LPROT004_YAPC_6H_X1_B32:N12,,LPROT,pyrazolanthrone,1,1,0,1,177,pyrazolanthrone_25 uM_6 h_YAPC,1,pyrazolanthrone_25 uM_6 h
