sig_id.x,conditionId,cmap_name,sig_id.y
DOSBIO002_HT29_24H:BRD-K79532217:10.3153,BRD-K79532217_10 uM_24 h,BRD-K79532217,DOSBIO002_PC3_24H:BRD-K79532217:10.3153
DOSBIO002_HT29_24H:BRD-K74461819:9.98767,BRD-K74461819_10 uM_24 h,BRD-K74461819,DOSBIO002_PC3_24H:BRD-K74461819:9.98767
DOSBIO002_HT29_24H:BRD-K80169513:9.9532,BRD-K80169513_10 uM_24 h,BRD-K80169513,DOSBIO002_PC3_24H:BRD-K80169513:9.9532
DOSBIO002_HT29_24H:BRD-K67236950:10.6884,BRD-K67236950_10 uM_24 h,BRD-K67236950,DOSVAL002_PC3_24H:BRD-K67236950:10
DOSBIO002_HT29_24H:BRD-K85806228:10.0786,BRD-K85806228_10 uM_24 h,BRD-K85806228,DOSBIO002_PC3_24H:BRD-K85806228:10.0786
POL001_HT29_24H:M13,oligomycin-a_10 uM_24 h,oligomycin-a,POL001_PC3_24H:M13
CPC006_HT29_24H:BRD-K64642496-001-01-6:40,KO-143_40 uM_24 h,KO-143,CPC006_PC3_24H:O24
CPC013_HT29_6H:H04,cytochalasin-d_10 uM_6 h,cytochalasin-d,CPC013_PC3_6H:BRD-K25504083-001-03-1:10
CPC006_HT29_24H:BRD-K60219430-001-01-6:10,serdemetan_10 uM_24 h,serdemetan,CPC006_PC3_24H:M20
CPC010_HT29_6H:BRD-U86222656-000-01-7:10,BRD-U86222656_10 uM_6 h,BRD-U86222656,CPC010_PC3_6H:BRD-U86222656-000-01-7:10
CPC006_HT29_24H:BRD-K33272502-001-01-2:40,DG-041_40 uM_24 h,DG-041,CPC006_PC3_24H:N02
CPC006_HT29_6H:B19,COT-10b_40 uM_6 h,COT-10b,CPC006_PC3_6H:BRD-K18190982-002-01-2:44.4
CPC019_HT29_6H:BRD-K23282736-001-01-1:10,BRD-K23282736_10 uM_6 h,BRD-K23282736,CPC019_PC3_6H:BRD-K23282736-001-01-1:10
CPC006_HT29_24H:BRD-K67075780-001-03-7:160,TGX-115_150 uM_24 h,TGX-115,CPC006_PC3_24H:D18
CPC014_HT29_6H:BRD-K94294671-003-01-3:10,OSI-027_10 uM_6 h,OSI-027,CPC014_PC3_6H:BRD-K94294671-003-01-3:10
CPC006_HT29_6H:O15,BRD-A28105619_10 uM_6 h,BRD-A28105619,CPC006_PC3_6H:BRD-A28105619-001-01-3:10
CPC006_HT29_6H:G14,auranofin_10 uM_6 h,auranofin,CPC006_PC3_6H:BRD-A79465854-001-01-3:10
CPC013_HT29_6H:L12,RS-I-002-6_10 uM_6 h,RS-I-002-6,CPC013_PC3_6H:BRD-K66254772-001-01-3:10
CPC015_HT29_6H:BRD-A34806832-001-02-7:10,proscillaridin_10 uM_6 h,proscillaridin,CPC004_PC3_6H:BRD-A34806832-001-02-7:10
CPC014_HT29_6H:BRD-K05396879-001-05-9:10,BRD-K05396879_10 uM_6 h,BRD-K05396879,CPC014_PC3_6H:BRD-K05396879-001-05-9:10
CPC006_HT29_6H:J07,NSC-632839_10 uM_6 h,NSC-632839,CPC006_PC3_6H:BRD-K74402642-003-01-2:10
CPC006_HT29_6H:E02,dorsomorphin_10 uM_6 h,dorsomorphin,CPC006_PC3_6H:BRD-K54233340-300-01-0:10
CPC005_HT29_24H:BRD-A77299732-001-01-6:10,salubrinal_10 uM_24 h,salubrinal,MOAR006_PC3_24H:A19
CPC009_HT29_6H:BRD-K55070890-001-02-1:10,thiothixene_10 uM_6 h,thiothixene,CPC009_PC3_6H:O24
CPC005_HT29_6H:BRD-A65767837-001-03-6:10,hydrocortisone-acetate_10 uM_6 h,hydrocortisone-acetate,CPC005_PC3_6H:BRD-A65767837-001-03-6:10
CPC018_HT29_6H:BRD-K80431395-001-02-4:10,triciribine_10 uM_6 h,triciribine,CPC004_PC3_6H:BRD-K80431395-001-02-4:10
CPC018_HT29_6H:BRD-K80431395-001-02-4:10,triciribine_10 uM_6 h,triciribine,CPC002_PC3_6H:BRD-A42649439-001-02-8:10
CPC018_HT29_6H:BRD-K80431395-001-02-4:10,triciribine_10 uM_6 h,triciribine,CPC014_PC3_6H:BRD-A11706664-001-01-1:10
CPC016_HT29_6H:BRD-K91370081-001-10-3:10,anisomycin_10 uM_6 h,anisomycin,CPC002_PC3_6H:BRD-K91370081-001-10-3:10
CPC008_HT29_6H:BRD-K69097969-001-03-2:10,VU-0418939-2_10 uM_6 h,VU-0418939-2,CPC008_PC3_6H:BRD-K69097969-001-03-2:10
CPC016_HT29_6H:BRD-K35708212-331-03-1:10,ouabain_10 uM_6 h,ouabain,CPC004_PC3_6H:BRD-A46747628-001-01-9:10
CPC006_HT29_24H:BRD-K67566344-001-01-8:10,KU-0063794_10 uM_24 h,KU-0063794,CPC006_PC3_24H:G06
CPC006_HT29_24H:BRD-K11853856-003-01-3:10,PJ-34_10 uM_24 h,PJ-34,ASG002_PC3_24H:C07
CPC008_HT29_6H:BRD-A03436432-001-04-0:10,BRD-A03436432_10 uM_6 h,BRD-A03436432,CPC008_PC3_6H:BRD-A03436432-001-04-0:10
CPC006_HT29_24H:BRD-A62182663-001-01-4:10,YK-4279_10 uM_24 h,YK-4279,CPC006_PC3_24H:C13
CPC019_HT29_6H:BRD-K60067222-001-01-1:10,BRD-K60067222_10 uM_6 h,BRD-K60067222,CPC019_PC3_6H:BRD-K60067222-001-01-1:10
