"","sig_id","conditionId","cell_iname"
"1","PCL001_HT29_24H:BRD-K42991516:10","BRD-K42991516_10 uM_24 h","HT29"
"2","PCL001_HT29_24H:BRD-K50817946:10","BRD-K50817946_10 uM_24 h","HT29"
"3","HOG002_A549_24H:BRD-K28296557-005-14-6:3.33","BRD-K28296557_3.33 uM_24 h","A549"
"4","DOSBIO001_MCF7_24H:BRD-K77888550:9.5278","BRD-K77888550_10 uM_24 h","MCF7"
"5","DOSBIO001_NPC_24H:BRD-K09069264:10.2084","BRD-K09069264_10 uM_24 h","NPC"
"6","CEGS001_NPC.177_24H:O06","AZD-8055_0.3 uM_24 h","NPC"
"7","CPD002_MCF7_24H:BRD-K26104851-001-15-3:10","nifuroxazide_10 uM_24 h","MCF7"
"8","CVD001_HEPG2_6H:BRD-K03652504-001-01-9:10.0497","BRD-K03652504_10 uM_6 h","HEPG2"
"9","PCL001_A549_24H:BRD-K17588104:0.04","JQ-1-R_0.04 uM_24 h","A549"
"10","PCL001_HT29_24H:BRD-K58479490:10","BRD-K58479490_10 uM_24 h","HT29"
"11","AML001_HL60_6H:BRD-K19706299:1.11111","MRE-269_1.11 uM_6 h","HL60"
"12","AML001_CD34_6H:BRD-A19037878:1.11111","BRD-A19037878_1.11 uM_6 h","CD34"
"13","CPD003_MCF7_24H:M21","luteolin_10 uM_24 h","MCF7"
"14","CVD001_HEPG2_6H:BRD-K41431477-001-05-6:2.5","A-23187_2.5 uM_6 h","HEPG2"
"15","DOSBIO001_A375_24H:BRD-K72343629:10.1316","BRD-K72343629_10 uM_24 h","A375"
"16","PCL001_HT29_24H:BRD-A89859721:0.12","BRD-A89859721_0.12 uM_24 h","HT29"
"17","CPD001_PC3_24H:BRD-K47407372-001-11-4:10","nifenazone_10 uM_24 h","PC3"
"18","CPD003_MCF7_24H:H20","chlorambucil_10 uM_24 h","MCF7"
"19","CVD001_HEPG2_6H:BRD-A37828317-001-03-0:10","anthothecol_10 uM_6 h","HEPG2"
"20","CVD001_HUH7_24H:BRD-K08316444-001-04-3:0.625","rotenone_0.66 uM_24 h","HUH7"
"21","DOSBIO001_PC3_24H:BRD-K60391168:10.1841","BRD-K60391168_10 uM_24 h","PC3"
"22","DOSBIO001_PC3_24H:BRD-K08317416:10.1576","BRD-K08317416_10 uM_24 h","PC3"
"23","DOSBIO002_MCF7_24H:BRD-K31380618:10.0743","BRD-K31380618_10 uM_24 h","MCF7"
"24","POL001_HT29_24H:L05","BMS-387032_0.125 uM_24 h","HT29"
"25","CEGS001_NPC.179_24H:J03","citalopram_6.66 uM_24 h","NPC"
"26","NMH001_NPC_6H:BRD-K83836748-001-01-7:10","BRD-K83836748_10 uM_6 h","NPC"
"27","NMH002_NPC_24H:BRD-K45528773-001-04-9:10","M-344_10 uM_24 h","NPC"
"28","LPROT004_YAPC_6H:BRD-K16189898:2","CHIR-99021_2.22 uM_6 h","YAPC"
"29","PCL001_HEPG2_24H:BRD-K45962729:10","BRD-K45962729_10 uM_24 h","HEPG2"
"30","CPD001_PC3_24H:BRD-A41020680-003-24-9:10","minocycline_10 uM_24 h","PC3"
"31","CVD001_HEPG2_24H:BRD-K37312348-001-05-1:3.825","kenpaullone_4 uM_24 h","HEPG2"
"32","DOSBIO001_A375_24H:BRD-K58292285:9.838","SA-1921085_10 uM_24 h","A375"
"33","DOSBIO002_A375_24H:BRD-K22052171:9.97874","BRD-K22052171_10 uM_24 h","A375"
"34","LRS001_PHH.MGH_24H:P11","LY-294002_3.33 uM_24 h","PHH"
