"","sig_id","cell_iname","conditionId"
"1","PCL001_HT29_24H:BRD-K42991516:10","HT29","BRD-K42991516_10 uM_24 h"
"2","PCL001_HT29_24H:BRD-K50817946:10","HT29","BRD-K50817946_10 uM_24 h"
"3","PCL001_HT29_24H:BRD-K58479490:10","HT29","BRD-K58479490_10 uM_24 h"
"4","DOSBIO001_A375_24H:BRD-K72343629:10.1316","A375","BRD-K72343629_10 uM_24 h"
"5","PCL001_HT29_24H:BRD-A89859721:0.12","HT29","BRD-A89859721_0.12 uM_24 h"
"6","POL001_HT29_24H:L05","HT29","BMS-387032_0.125 uM_24 h"
"7","DOSBIO001_A375_24H:BRD-K58292285:9.838","A375","SA-1921085_10 uM_24 h"
"8","DOSBIO002_A375_24H:BRD-K22052171:9.97874","A375","BRD-K22052171_10 uM_24 h"
"9","PCL001_HT29_24H:BRD-K13094524:10","HT29","PFI-1_10 uM_24 h"
"10","DOSBIO001_A375_24H:BRD-K88822846:10.1074","A375","BRD-K88822846_10 uM_24 h"
"11","DOSBIO002_A375_24H:BRD-K25379780:10.5212","A375","BRD-K25379780_10 uM_24 h"
"12","DOSBIO002_A375_24H:BRD-K87125912:9.98177","A375","BRD-K87125912_10 uM_24 h"
"13","DOSBIO001_A375_24H:BRD-K70900504:10.0464","A375","BRD-K70900504_10 uM_24 h"
"14","DOSBIO002_A375_24H:BRD-K51034923:10.1306","A375","BRD-K51034923_10 uM_24 h"
"15","DOSBIO001_A375_24H:BRD-K11169037:10.0519","A375","BRD-K11169037_10 uM_24 h"
"16","GMB001_HT29_24H:BRD-K09208538:50","HT29","BRD-K09208538_50 uM_24 h"
"17","PCL001_A375_24H:BRD-K11413513:10","A375","BRD-K11413513_10 uM_24 h"
"18","DOSBIO001_A375_24H:BRD-K89961851:10.2368","A375","BRD-K89961851_10 uM_24 h"
"19","DOSBIO001_A375_24H:BRD-K08317416:10.1576","A375","BRD-K08317416_10 uM_24 h"
"20","PCL001_A375_24H:BRD-K88378636:1.11","A375","withaferin-a_1.11 uM_24 h"
"21","PCL001_A375_24H:BRD-K21532219:10","A375","UMB-32_10 uM_24 h"
"22","PCL001_A375_24H:BRD-K58479490:10","A375","BRD-K58479490_10 uM_24 h"
"23","DOSBIO002_A375_24H:BRD-K69705756:9.21374","A375","BRD-K69705756_10 uM_24 h"
"24","DOSBIO001_A375_24H:BRD-K60528884:10.0724","A375","SA-1938740_10 uM_24 h"
"25","DOSBIO001_A375_24H:BRD-K30229575:10.1026","A375","BRD-K30229575_10 uM_24 h"
"26","DOSBIO001_HT29_24H:BRD-K06589444:9.98921","HT29","BRD-K06589444_10 uM_24 h"
"27","DOSBIO001_A375_24H:BRD-K80058284:10.0734","A375","BRD-K80058284_10 uM_24 h"
"28","DOSBIO002_HT29_24H:BRD-K87838848:9.99211","HT29","BRD-K87838848_10 uM_24 h"
"29","DOSBIO001_A375_24H:BRD-K97633445:10.166","A375","BRD-K97633445_10 uM_24 h"
"30","LPROT003_A375_6H:BRD-K01567962:25","A375","pyrazolanthrone_25 uM_6 h"
"31","DOSBIO001_A375_24H:BRD-K09068728:10","A375","BRD-K09068728_10 uM_24 h"
"32","DOSBIO001_A375_24H:BRD-K00141503:9.88644","A375","BRD-K00141503_10 uM_24 h"
"33","POL001_HT29_24H:H16","HT29","WYE-125132_0.37 uM_24 h"
"34","PCL001_HT29_24H:BRD-A18497530:1.11","HT29","5-iodotubercidin_1.11 uM_24 h"
"35","PCL001_HT29_24H:BRD-K11413513:1.11","HT29","BRD-K11413513_1.11 uM_24 h"
"36","DOSBIO001_HT29_24H:BRD-K62242359:10.5421","HT29","BRD-K62242359_10 uM_24 h"
