,id,gene
0,0,0610005C13Rik
1,1,0610007N19Rik
2,2,0610007P14Rik
3,3,0610009B14Rik
4,4,0610009B22Rik
5,5,0610009D07Rik
6,6,0610009E02Rik
7,7,0610009L18Rik
8,8,0610009O20Rik
9,9,0610010F05Rik
10,10,0610010K14Rik
11,11,0610011F06Rik
12,12,0610025J13Rik
13,13,0610030E20Rik
14,14,0610031J06Rik
15,15,0610037L13Rik
16,16,0610039K10Rik
17,17,0610040B10Rik
18,18,0610040F04Rik
19,19,0610040J01Rik
20,20,0610043K17Rik
21,21,1010001N08Rik
22,22,1100001G20Rik
23,23,1110001A16Rik
24,24,1110001J03Rik
25,25,1110002E22Rik
26,26,1110002L01Rik
27,27,1110004E09Rik
28,28,1110004F10Rik
29,29,1110006G14Rik
30,30,1110007C09Rik
31,31,1110008F13Rik
32,32,1110008J03Rik
33,33,1110008L16Rik
34,34,1110008P14Rik
35,35,1110012L19Rik
36,36,1110017D15Rik
37,37,1110019D14Rik
38,38,1110020A21Rik
39,39,1110028F11Rik
40,40,1110032A03Rik
41,41,1110034G24Rik
42,42,1110035M17Rik
43,43,1110037F02Rik
44,44,1110038B12Rik
45,45,1110038F14Rik
46,46,1110046J04Rik
47,47,1110051M20Rik
48,48,1110054M08Rik
49,49,1110057K04Rik
50,50,1110058L19Rik
51,51,1110059E24Rik
52,52,1110059G10Rik
53,53,1110065P20Rik
54,54,1190002N15Rik
55,55,1190005I06Rik
56,56,1190007I07Rik
57,57,1200014J11Rik
58,58,1300002E11Rik
59,59,1300002K09Rik
60,60,1500002C15Rik
61,61,1500002O10Rik
62,62,1500009L16Rik
63,63,1500011B03Rik
64,64,1500011K16Rik
65,65,1500012F01Rik
66,66,1500015O10Rik
67,67,1500017E21Rik
68,68,1500026H17Rik
69,69,1500035N22Rik
70,70,1600002H07Rik
71,71,1600002K03Rik
72,72,1600012H06Rik
73,73,1600014C10Rik
74,74,1600016N20Rik
75,75,1600020E01Rik
76,76,1600029D21Rik
77,77,1600029I14Rik
78,78,1700001C02Rik
79,79,1700001C19Rik
80,80,1700001G11Rik
81,81,1700001G17Rik
82,82,1700001J03Rik
83,83,1700001L05Rik
84,84,1700001L19Rik
85,85,1700001O22Rik
86,86,1700003D09Rik
87,87,1700003E16Rik
88,88,1700003F12Rik
89,89,1700003F17Rik
90,90,1700003M02Rik
91,91,1700007G11Rik
92,92,1700007K13Rik
93,93,1700007L15Rik
94,94,1700008O03Rik
95,95,1700009J07Rik
96,96,1700009P17Rik
97,97,1700010I14Rik
98,98,1700010K24Rik
99,99,1700011J10Rik
100,100,1700012B07Rik
101,101,1700012B09Rik
102,102,1700012B15Rik
103,103,1700013F07Rik
104,104,1700013G23Rik
105,105,1700016H13Rik
106,106,1700016K19Rik
107,107,1700017B05Rik
108,108,1700018A04Rik
109,109,1700019D03Rik
110,110,1700019G06Rik
111,111,1700019G17Rik
112,112,1700019L03Rik
113,113,1700020I14Rik
114,114,1700020L24Rik
115,115,1700021A07Rik
116,116,1700021F05Rik
117,117,1700021K19Rik
118,118,1700022I11Rik
119,119,1700023E05Rik
120,120,1700023L04Rik
121,121,1700024G13Rik
122,122,1700024N20Rik
123,123,1700025G04Rik
124,124,1700026D08Rik
125,125,1700026D11Rik
126,126,1700026L06Rik
127,127,1700027A07Rik
128,128,1700028E10Rik
129,129,1700028J19Rik
130,130,1700028P14Rik
131,131,1700029I15Rik
132,132,1700029J07Rik
133,133,1700030C10Rik
134,134,1700030J22Rik
135,135,1700030K09Rik
136,136,1700034H15Rik
137,137,1700034P13Rik
138,138,1700037C18Rik
139,139,1700037H04Rik
140,140,1700039M10Rik
141,141,1700040L02Rik
142,142,1700041G16Rik
143,143,1700049G17Rik
144,144,1700051O22Rik
145,145,1700052N19Rik
146,146,1700055D18Rik
147,147,1700055N04Rik
148,148,1700056E22Rik
149,149,1700056N10Rik
150,150,1700061G19Rik
151,151,1700064E03Rik
152,152,1700066B19Rik
153,153,1700066M21Rik
154,154,1700067K01Rik
155,155,1700071M16Rik
156,156,1700084C06Rik
157,157,1700084J12Rik
158,158,1700086D15Rik
159,159,1700086O06Rik
160,160,1700086P04Rik
161,161,1700088E04Rik
162,162,1700093K21Rik
163,163,1700094C10Rik
164,164,1700094D03Rik
165,165,1700095J03Rik
166,166,1700101E01Rik
167,167,1700102P08Rik
168,168,1700109H08Rik
169,169,1700109K24Rik
170,170,1700112D23Rik
171,171,1700112E06Rik
172,172,1700112J05Rik
173,173,1700112J16Rik
174,174,1700112M01Rik
175,175,1700113A16Rik
176,176,1700113H08Rik
177,177,1700123M08Rik
178,178,1700123O20Rik
179,179,1700125G22Rik
180,180,1810009A15Rik
181,181,1810010H24Rik
182,182,1810011H11Rik
183,183,1810011O10Rik
184,184,1810012K08Rik
185,185,1810013L24Rik
186,186,1810014B01Rik
187,187,1810019D21Rik
188,188,1810019J16Rik
189,189,1810021B22Rik
190,190,1810022K09Rik
191,191,1810024B03Rik
192,192,1810026J23Rik
193,193,1810030O07Rik
194,194,1810032O08Rik
195,195,1810033B17Rik
196,196,1810034E14Rik
197,197,1810037I17Rik
198,198,1810043G02Rik
199,199,1810043H04Rik
200,200,1810055G02Rik
201,201,1810058I24Rik
202,202,1810058N05Rik
203,203,1810059H22Rik
204,204,1810062G17Rik
205,205,1810062O18Rik
206,206,1810063I02Rik
207,207,1810064F22Rik
208,208,2010001A14Rik
209,209,2010001M06Rik
210,210,2010002M12Rik
211,211,2010003O02Rik
212,212,2010005H15Rik
213,213,2010007H06Rik
214,214,2010012O05Rik
215,215,2010012P19Rik
216,216,2010013B24Rik
217,217,2010015L04Rik
218,218,2010015M23Rik
219,219,2010107E04Rik
220,220,2010107G23Rik
221,221,2010109A12Rik
222,222,2010110K18Rik
223,223,2010111I01Rik
224,224,2010204K13Rik
225,225,2010300C02Rik
226,226,2010315B03Rik
227,227,2200002D01Rik
228,228,2200002J24Rik
229,229,2210011C24Rik
230,230,2210013O21Rik
231,231,2210016F16Rik
232,232,2210016L21Rik
233,233,2210017G18Rik
234,234,2210018M11Rik
235,235,2210404O07Rik
236,236,2210404O09Rik
237,237,2210408F21Rik
238,238,2210408I21Rik
239,239,2210417A02Rik
240,240,2210417K05Rik
241,241,2300005B03Rik
242,242,2300009A05Rik
243,243,2310001H17Rik
244,244,2310001K24Rik
245,245,2310002F09Rik
246,246,2310003H01Rik
247,247,2310007B03Rik
248,248,2310007L24Rik
249,249,2310009B15Rik
250,250,2310010J17Rik
251,251,2310011J03Rik
252,252,2310014L17Rik
253,253,2310015A10Rik
254,254,2310022A10Rik
255,255,2310022B05Rik
256,256,2310026L22Rik
257,257,2310030G06Rik
258,258,2310031A07Rik
259,259,2310033P09Rik
260,260,2310035C23Rik
261,261,2310036O22Rik
262,262,2310039H08Rik
263,263,2310040G07Rik
264,264,2310043D23Rik
265,265,2310044G17Rik
266,266,2310045N01Rik
267,267,2310047M10Rik
268,268,2310050B05Rik
269,269,2310057M21Rik
270,270,2310058D17Rik
271,271,2310061I04Rik
272,272,2310067B10Rik
273,273,2310075C17Rik
274,274,2410002F23Rik
275,275,2410003L11Rik
276,276,2410004B18Rik
277,277,2410004I01Rik
278,278,2410004N09Rik
279,279,2410004P03Rik
280,280,2410006H16Rik
281,281,2410015M20Rik
282,282,2410016O06Rik
283,283,2410017I17Rik
284,284,2410018L13Rik
285,285,2410018M08Rik
286,286,2410057H14Rik
287,287,2410066E13Rik
288,288,2410076I21Rik
289,289,2410080I02Rik
290,290,2410089E03Rik
291,291,2410127L17Rik
292,292,2410131K14Rik
293,293,2410133F24Rik
294,294,2410152P15Rik
295,295,2500002B13Rik
296,296,2500004C02Rik
297,297,2510002D24Rik
298,298,2510003E04Rik
299,299,2510009E07Rik
300,300,2510039O18Rik
301,301,2510046G10Rik
302,302,2610001J05Rik
303,303,2610002J02Rik
304,304,2610002M06Rik
305,305,2610008E11Rik
306,306,2610015P09Rik
307,307,2610018G03Rik
308,308,2610019E17Rik
309,309,2610020C07Rik
310,310,2610020H08Rik
311,311,2610021A01Rik
312,312,2610027K06Rik
313,313,2610028H24Rik
314,314,2610034B18Rik
315,315,2610035D17Rik
316,316,2610037D02Rik
317,317,2610044O15Rik8
318,318,2610203C20Rik
319,319,2610203C22Rik
320,320,2610204G22Rik
321,321,2610301B20Rik
322,322,2610305D13Rik
323,323,2610307P16Rik
324,324,2610318N02Rik
325,325,2610507B11Rik
326,326,2610507I01Rik
327,327,2610524H06Rik
328,328,2610528A11Rik
329,329,2610528J11Rik
330,330,2700012I20Rik
331,331,2700016F22Rik
332,332,2700029M09Rik
333,333,2700033N17Rik
334,334,2700038G22Rik
335,335,2700046A07Rik
336,336,2700046G09Rik
337,337,2700049A03Rik
338,338,2700050L05Rik
339,339,2700060E02Rik
340,340,2700062C07Rik
341,341,2700073G19Rik
342,342,2700081O15Rik
343,343,2700086A05Rik
344,344,2700089E24Rik
345,345,2700094K13Rik
346,346,2700097O09Rik
347,347,2810001G20Rik
348,348,2810002D19Rik
349,349,2810004N23Rik
350,350,2810006K23Rik
351,351,2810008D09Rik
352,352,2810021J22Rik
353,353,2810025M15Rik
354,354,2810029C07Rik
355,355,2810032G03Rik
356,356,2810055G20Rik
357,357,2810403A07Rik
358,358,2810403D21Rik
359,359,2810408A11Rik
360,360,2810408I11Rik
361,361,2810408M09Rik
362,362,2810410L24Rik
363,363,2810417H13Rik
364,364,2810428I15Rik
365,365,2810429I04Rik
366,366,2810442I21Rik
367,367,2810455O05Rik
368,368,2810468N07Rik
369,369,2810474O19Rik
370,370,2900002K06Rik
371,371,2900005J15Rik
372,372,2900008C10Rik
373,373,2900026A02Rik
374,374,2900041M22Rik
375,375,2900052L18Rik
376,376,2900053O20Rik
377,377,2900055J20Rik
378,378,2900056M20Rik
379,379,2900060B14Rik
380,380,2900076A07Rik
381,381,2900089D17Rik
382,382,3010003L21Rik
383,383,3010026O09Rik
384,384,3110001I22Rik
385,385,3110002H16Rik
386,386,3110007F17Rik
387,387,3110009E18Rik
388,388,3110021A11Rik
389,389,3110021N24Rik
390,390,3110040N11Rik
391,391,3110043O21Rik
392,392,3110045C21Rik
393,393,3110052M02Rik
394,394,3110056K07Rik
395,395,3110057O12Rik
396,396,3110062M04Rik
397,397,3110082I17Rik
398,398,3110083C13Rik
399,399,3222401L13Rik
400,400,3300002A11Rik
401,401,3300002I08Rik
402,402,3300005D01Rik
403,403,3632451O06Rik
404,404,3830403N18Rik
405,405,3830406C13Rik
406,406,3930402G23Rik
407,407,4430402I18Rik
408,408,4631405J19Rik
409,409,4631405K08Rik
410,410,4632404H12Rik
411,411,4632411P08Rik
412,412,4632415L05Rik
413,413,4632419I22Rik
414,414,4632427E13Rik
415,415,4632428N05Rik
416,416,4632434I11Rik
417,417,4731419I09Rik
418,418,4732414G09Rik
419,419,4732419C18Rik
420,420,4732440D04Rik
421,421,4732444A12Rik
422,422,4732465J04Rik
423,423,4732471J01Rik
424,424,4732491K20Rik
425,425,4831440E17Rik
426,426,4833407H14Rik
427,427,4833417C18Rik
428,428,4833418N02Rik
429,429,4833420G17Rik
430,430,4833423E24Rik
431,431,4833427G06Rik
432,432,4833428L15Rik
433,433,4833439L19Rik
434,434,4921504A21Rik
435,435,4921507P07Rik
436,436,4921513D11Rik
437,437,4921514A10Rik
438,438,4921522P10Rik
439,439,4921524J17Rik
440,440,4921530L18Rik
441,441,4921531C22Rik
442,442,4921536K21Rik
443,443,4922501C03Rik
444,444,4922501L14Rik
445,445,4922502B01Rik
446,446,4930402H24Rik
447,447,4930404I05Rik
448,448,4930404N11Rik
449,449,4930405A21Rik
450,450,4930412C18Rik
451,451,4930412M03Rik
452,452,4930412O13Rik
453,453,4930415O20Rik
454,454,4930422G04Rik
455,455,4930426I24Rik
456,456,4930427A07Rik
457,457,4930430F08Rik
458,458,4930431P03Rik
459,459,4930432E11Rik
460,460,4930432K21Rik
461,461,4930438A08Rik
462,462,4930441O14Rik
463,463,4930444P10Rik
464,464,4930445N18Rik
465,465,4930448D08Rik
466,466,4930451C15Rik
467,467,4930451G09Rik
468,468,4930452B06Rik
469,469,4930453N24Rik
470,470,4930455G09Rik
471,471,4930455H04Rik
472,472,4930458D05Rik
473,473,4930470G03Rik
474,474,4930473A02Rik
475,475,4930480K23Rik
476,476,4930481A15Rik
477,477,4930481B07Rik
478,478,4930483K19Rik
479,479,4930486L24Rik
480,480,4930503L19Rik
481,481,4930505A04Rik
482,482,4930506C21Rik
483,483,4930506M07Rik
484,484,4930507D05Rik
485,485,4930509G22Rik
486,486,4930513N10Rik
487,487,4930515G01Rik
488,488,4930516B21Rik
489,489,4930518I15Rik
490,490,4930520K10Rik
491,491,4930520O04Rik
492,492,4930522L14Rik
493,493,4930523C07Rik
494,494,4930524J08Rik
495,495,4930524O07Rik
496,496,4930525G20Rik
497,497,4930529M08Rik
498,498,4930533K18Rik
499,499,4930535L15Rik
500,500,4930539J05Rik
501,501,4930546H06Rik
502,502,4930547M16Rik
503,503,4930550C14Rik
504,504,4930550G17Rik
505,505,4930551O13Rik
506,506,4930556M19Rik
507,507,4930562C15Rik
508,508,4930562F07Rik
509,509,4930570N18Rik
510,510,4930578C19Rik
511,511,4930579G18Rik
512,512,4930579G24Rik
513,513,4930579K19Rik
514,514,4930580A09Rik
515,515,4930581F22Rik
516,516,4930583P06Rik
517,517,4930586N03Rik
518,518,4930594M22Rik
519,519,4930596I21Rik
520,520,4930597O21Rik
521,521,4930599N23Rik
522,522,4931403E22Rik
523,523,4931406C07Rik
524,524,4931406P16Rik
525,525,4931414P19Rik
526,526,4931428F04Rik
527,527,4931429I11Rik
528,528,4931431C16Rik
529,529,4931440P22Rik
530,530,4932427H20Rik
531,531,4932431P20Rik
532,532,4932438A13Rik
533,533,4932438H23Rik
534,534,4932441J04Rik
535,535,4932443I19Rik
536,536,4933400F03Rik
537,537,4933404O12Rik
538,538,4933406C10Rik
539,539,4933407K13Rik
540,540,4933408B17Rik
541,541,4933408J17Rik
542,542,4933411K20Rik
543,543,4933413G19Rik
544,544,4933417D19Rik
545,545,4933421A08Rik
546,546,4933421O10Rik
547,547,4933423P22Rik
548,548,4933424M12Rik
549,549,4933426M11Rik
550,550,4933427D14Rik
551,551,4933427G17Rik
552,552,4933431E20Rik
553,553,4933433C11Rik
554,554,4933433G15Rik
555,555,4933434E20Rik
556,556,4933436C20Rik
557,557,4933439C10Rik
558,558,4933439K11Rik
559,559,5031414D18Rik
560,560,5031425E22Rik
561,561,5031425F14Rik
562,562,5031434O11Rik
563,563,5031439G07Rik
564,564,5033403F01Rik
565,565,5033411D12Rik
566,566,5033417F24Rik
567,567,5033430I15Rik
568,568,5330413P13Rik
569,569,5330416C01Rik
570,570,5330417C22Rik
571,571,5330426P16Rik
572,572,5330430P22Rik
573,573,5330439A09Rik
574,574,5430400D12Rik
575,575,5430402O13Rik
576,576,5430403G16Rik
577,577,5430405H02Rik
578,578,5430416N02Rik
579,579,5430416O09Rik
580,580,5430417L22Rik
581,581,5430421N21Rik
582,582,5430427O19Rik
583,583,5430435G22Rik
584,584,5530601H04Rik
585,585,5730405O15Rik
586,586,5730409E04Rik
587,587,5730420D15Rik
588,588,5730422E09Rik
589,589,5730446D14Rik
590,590,5730455P16Rik
591,591,5730480H06Rik
592,592,5730507C01Rik
593,593,5730508B09Rik
594,594,5730559C18Rik
595,595,5730577I03Rik
596,596,5730588L14Rik
597,597,5830403L16Rik
598,598,5830411N06Rik
599,599,5830415F09Rik
600,600,5830416P10Rik
601,601,5830418K08Rik
602,602,5830428H23Rik
603,603,5830432E09Rik
604,604,5830444B04Rik
605,605,5830454E08Rik
606,606,5930403N24Rik
607,607,6030408B16Rik
608,608,6030419C18Rik
609,609,6030442K20Rik
610,610,6030443J06Rik
611,611,6030455H03Rik
612,612,6030458C11Rik
613,613,6230400D17Rik
