,metric,DCS,DCS modified v1,DCS modified v2,similarity-trained Autoencoders,direct translation,FIT,TransCompR,Autoencoders with classifier,CPA-based Autoencoders
DCS,pearson,1.0,0.9097218891455553,0.0211339281291611,0.18587673236587576,0.0211339281291611,0.5205228832757727,0.14046504815835495,0.08897301170181328,0.18587673236587576
DCS modified v1,pearson,0.0,1.0,0.03763531378731424,0.18587673236587576,0.0211339281291611,0.4273553138978077,0.18587673236587576,0.08897301170181328,0.18587673236587576
DCS modified v2,pearson,0.0,0.0,1.0,0.4273553138978077,0.00018267179110955002,0.0017062493689195964,0.3074894566186813,0.47267559351158717,0.3074894566186813
similarity-trained Autoencoders,pearson,0.0,0.0,0.0,1.0,0.00032983852077799353,0.017257456083119765,0.9097218891455553,0.5205228832757727,0.7913367801006604
direct translation,pearson,0.0,0.0,0.0,0.0,1.0,0.014019277113959953,0.00032983852077799353,0.00032983852077799353,0.00043963875262656454
Autoencoders with classifier,pearson,0.0,0.0,0.0,0.0,0.0,0.0028272720911168077,0.6231762238821174,1.0,0.5205228832757727
FIT,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.009108496398030965,0.0,0.025748080821108063
TransCompR,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9698499769931556
CPA-based Autoencoders,pearson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.9698499769931556,0.053902557169387175,0.21229383619233155,0.011329696684474665,0.00018267179110955002,0.10410988966022681,0.07566157214388704,0.27303633975118835
DCS modified v1,spearman,0.0,1.0,0.03763531378731424,0.21229383619233155,0.011329696684474665,0.00018267179110955002,0.14046504815835495,0.06402210128302689,0.3074894566186813
DCS modified v2,spearman,0.0,0.0,1.0,0.27303633975118835,0.00018267179110955002,0.00024612812790522973,0.24132159301718004,0.6775849579524755,0.3074894566186813
similarity-trained Autoencoders,spearman,0.0,0.0,0.0,1.0,0.0005828399431792743,0.00018267179110955002,0.9097218891455553,0.6231762238821174,0.9698499769931556
direct translation,spearman,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00032983852077799353,0.00032983852077799353,0.0007685389131627665
Autoencoders with classifier,spearman,0.0,0.0,0.0,0.0,0.0,0.00018267179110955002,0.6231762238821174,1.0,0.6231762238821174
FIT,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.0,0.00018267179110955002
TransCompR,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7913367801006604
CPA-based Autoencoders,spearman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DCS,sign accuracy,1.0,0.9097218891455553,0.053902557169387175,0.3074894566186813,0.017257456083119765,0.00018267179110955002,0.12122450301291662,0.06402210128302689,0.18587673236587576
DCS modified v1,sign accuracy,0.0,1.0,0.03763531378731424,0.27303633975118835,0.017257456083119765,0.00018267179110955002,0.14046504815835495,0.06402210128302689,0.27303633975118835
DCS modified v2,sign accuracy,0.0,0.0,1.0,0.3074894566186813,0.00018267179110955002,0.00018267179110955002,0.24132159301718004,0.5707503880581739,0.27303633975118835
similarity-trained Autoencoders,sign accuracy,0.0,0.0,0.0,1.0,0.0010079762403767444,0.00018267179110955002,1.0,0.5707503880581739,1.0
direct translation,sign accuracy,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00032983852077799353,0.00032983852077799353,0.0010079762403767444
Autoencoders with classifier,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.00018267179110955002,0.5205228832757727,1.0,0.5205228832757727
FIT,sign accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.0,0.00018267179110955002
TransCompR,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9698499769931556
CPA-based Autoencoders,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
