,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375,cross_corr_ht29,cross_corr_a375,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.7282698154449463,0.6256774663925171,0.6552995737263579,0.5888845875551548,0.7302914110429448,0.7047546012269938,0.8043065667152405,0.7775862216949463,0.7351055031741656,0.694783688017781,0.7769102063580594,0.7573278800272666,0.5710895657539368,0.5412218570709229,0.5206855535507202,0.46303116864283284,0.6627300613496933,0.6627300613496933
1,0.6898784041404724,0.6903856992721558,0.5838675749156631,0.5747001207035985,0.7092280163599182,0.7064928425357874,0.7945134043693542,0.7791852951049805,0.7135805357576389,0.6904056377747491,0.7691671314370698,0.7557344921608725,0.5541066527366638,0.5838761925697327,0.4794166088104248,0.4203035512506793,0.6498466257668711,0.6498466257668711
2,0.7757205963134766,0.7475102543830872,0.6656072264658123,0.6611597651574346,0.7309304703476484,0.7350715746421268,0.7808705568313599,0.7878152132034302,0.7081912663187898,0.7019164019547214,0.7637014314928424,0.7588786639400136,0.5632990598678589,0.5610136985778809,0.5004222393035889,0.43260756175577236,0.644836400817996,0.644836400817996
3,0.7208238840103149,0.6967772245407104,0.5895699664707463,0.6042609993032617,0.7116308793456032,0.7202709611451943,0.7919307947158813,0.7836748361587524,0.7079940444616204,0.6908338786029169,0.7656162855549359,0.7580691888207226,0.5149924159049988,0.5481866598129272,0.44552382826805115,0.39339340574144455,0.6358895705521472,0.6358895705521472
4,0.7595170736312866,0.6850866675376892,0.6295116592375438,0.579866475209871,0.7246676891615541,0.6975971370143149,0.8126444220542908,0.7906304001808167,0.7486959778804592,0.6931555029912854,0.7890964863357501,0.7544563735514657,0.5979747176170349,0.6195854544639587,0.5428716540336609,0.44250330575762253,0.6531441717791411,0.6531441717791411
5,0.6934666037559509,0.6359556317329407,0.5888062913414255,0.560644412325541,0.7101993865030675,0.6994120654396727,0.797783374786377,0.7811386585235596,0.7266041709874246,0.7031372951657258,0.7809630042758878,0.7650903203817314,0.5554793477058411,0.5872071981430054,0.45602622628211975,0.4331634256700152,0.6545245398773006,0.6545245398773006
6,0.6638829112052917,0.6051913499832153,0.539328964680753,0.5423444819941671,0.6895705521472392,0.687678936605317,0.7922964096069336,0.7641218900680542,0.7136271760147274,0.6870015601193283,0.7732013385387618,0.7546267893660532,0.5119493007659912,0.5369768738746643,0.3912511467933655,0.35391626058167847,0.6184049079754601,0.6184049079754601
7,0.718245267868042,0.6453790664672852,0.6530463286123988,0.5912915591563157,0.7360685071574642,0.7065439672801637,0.8154336214065552,0.7384354472160339,0.7522266469680647,0.6717010949387827,0.7958914296337609,0.7495824812542604,0.5329663753509521,0.5401577949523926,0.4556507170200348,0.433181901263805,0.6524284253578732,0.6524284253578732
8,0.6389840245246887,0.5664340257644653,0.5041106868112076,0.4829485925834643,0.6694529652351738,0.6651073619631902,0.7552385330200195,0.7601848840713501,0.6847758769932453,0.6927587634850447,0.7553076780070647,0.7574130879345603,0.4997447729110718,0.5076866745948792,0.3736864924430847,0.33768846174922024,0.6101482617586912,0.6101482617586912
9,0.6599949598312378,0.6186758875846863,0.5773341241590126,0.5408733201994504,0.7039621676891615,0.6923057259713701,0.783799409866333,0.7395376563072205,0.7120098116865777,0.6705580170145627,0.7673638222717978,0.7499914792092707,0.5481452941894531,0.5150581002235413,0.4139716327190399,0.372399279128891,0.6288087934560327,0.6288087934560327
