,metric,InfoMax-based Autoencoders,Autoencoders with classifier,CPA,TransCompR,TransCompR-combined and InfoMax-based Autoencoders,TransCompR-combined CPA,TransCompR-combined CPA with PCA-loss
InfoMax-based Autoencoders,pearson,1.0,0.9097218891455553,0.3846730627355087,0.9698499769931556,0.5707503880581739,0.7913367801006604,0.9698499769931556
Autoencoders with classifier,pearson,0.0,1.0,0.3447042220069576,0.9698499769931556,0.5205228832757727,0.6775849579524755,0.8501067391385259
CPA,pearson,0.0,0.0,1.0,0.3846730627355087,0.27303633975118835,0.6231762238821174,0.3447042220069576
TransCompR,pearson,0.0,0.0,0.0,1.0,0.47267559351158717,0.7913367801006604,0.9698499769931556
TransCompR-combined and InfoMax-based Autoencoders,pearson,0.0,0.0,0.0,0.0,1.0,0.47267559351158717,0.47267559351158717
TransCompR-combined CPA,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.6231762238821174
TransCompR-combined CPA with PCA-loss,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0
InfoMax-based Autoencoders,spearman,1.0,0.47267559351158717,0.4273553138978077,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
Autoencoders with classifier,spearman,0.0,1.0,0.7337299956962472,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
CPA,spearman,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
TransCompR,spearman,0.0,0.0,0.0,1.0,0.0005828399431792743,0.10410988966022681,0.04515456962427901
TransCompR-combined and InfoMax-based Autoencoders,spearman,0.0,0.0,0.0,0.0,1.0,0.0036105143123296027,0.00018267179110955002
TransCompR-combined CPA,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.3846730627355087
TransCompR-combined CPA with PCA-loss,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0
InfoMax-based Autoencoders,accuracy,1.0,0.6231762238821174,0.3447042220069576,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
Autoencoders with classifier,accuracy,0.0,1.0,0.6775849579524755,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
CPA,accuracy,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
TransCompR,accuracy,0.0,0.0,0.0,1.0,0.0005828399431792743,0.07566157214388704,0.04515456962427901
TransCompR-combined and InfoMax-based Autoencoders,accuracy,0.0,0.0,0.0,0.0,1.0,0.011329696684474665,0.0007685389131627665
TransCompR-combined CPA,accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.5707503880581739
TransCompR-combined CPA with PCA-loss,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
