,metric,direct translation,InfoMax-based Autoencoders,Autoencoders with classifier,CPA,TransCompR,TransCompR-combined and InfoMax-based Autoencoders,TransCompR-combined CPA,TransCompR-combined CPA with PCA-loss
direct translation,pearson,1.0,0.00032983852077799353,0.00032983852077799353,0.00043963875262656454,0.00032983852077799353,0.00032983852077799353,0.00043963875262656454,0.00043963875262656454
InfoMax-based Autoencoders,pearson,0.0,1.0,0.9097218891455553,0.6775849579524755,0.7337299956962472,0.7337299956962472,0.7913367801006604,0.9698499769931556
Autoencoders with classifier,pearson,0.0,0.0,1.0,0.5205228832757727,0.6231762238821174,0.8501067391385259,0.5707503880581739,0.7913367801006604
CPA,pearson,0.0,0.0,0.0,1.0,0.9698499769931556,0.4273553138978077,0.9097218891455553,0.8501067391385259
TransCompR,pearson,0.0,0.0,0.0,0.0,1.0,0.47267559351158717,0.8501067391385259,0.7337299956962472
TransCompR-combined and InfoMax-based Autoencoders,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.3447042220069576,0.47267559351158717
TransCompR-combined CPA,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7337299956962472
TransCompR-combined CPA with PCA-loss,pearson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
direct translation,spearman,1.0,0.00032983852077799353,0.00032983852077799353,0.0007685389131627665,0.00032983852077799353,0.00032983852077799353,0.0005828399431792743,0.0007685389131627665
InfoMax-based Autoencoders,spearman,0.0,1.0,0.7337299956962472,0.6775849579524755,0.7913367801006604,0.6775849579524755,0.6231762238821174,0.9698499769931556
Autoencoders with classifier,spearman,0.0,0.0,1.0,0.6231762238821174,0.6231762238821174,0.8501067391385259,0.5205228832757727,0.9698499769931556
CPA,spearman,0.0,0.0,0.0,1.0,0.7913367801006604,0.5205228832757727,0.9698499769931556,0.8501067391385259
TransCompR,spearman,0.0,0.0,0.0,0.0,1.0,0.4273553138978077,0.7913367801006604,0.6775849579524755
TransCompR-combined and InfoMax-based Autoencoders,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.3846730627355087,0.6775849579524755
TransCompR-combined CPA,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6231762238821174
TransCompR-combined CPA with PCA-loss,spearman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
direct translation,accuracy,1.0,0.0005828399431792743,0.00032983852077799353,0.0010079762403767444,0.00032983852077799353,0.00043963875262656454,0.0013149446697132139,0.0013149446697132139
InfoMax-based Autoencoders,accuracy,0.0,1.0,0.8501067391385259,0.6231762238821174,0.7337299956962472,0.6231762238821174,0.5707503880581739,0.9097218891455553
Autoencoders with classifier,accuracy,0.0,0.0,1.0,0.5205228832757727,0.5205228832757727,0.7913367801006604,0.47267559351158717,1.0
CPA,accuracy,0.0,0.0,0.0,1.0,0.9698499769931556,0.4273553138978077,0.9097218891455553,0.8501067391385259
TransCompR,accuracy,0.0,0.0,0.0,0.0,1.0,0.3846730627355087,0.9097218891455553,0.5707503880581739
TransCompR-combined and InfoMax-based Autoencoders,accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.4273553138978077,0.6775849579524755
TransCompR-combined CPA,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6231762238821174
TransCompR-combined CPA with PCA-loss,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
