,sig_id,conditionId,cell_iname
0,DOSBIO001_NPC_24H:BRD-K09069264:10.2084,BRD-K09069264_10 uM_24 h,NPC
1,CPD002_MCF7_24H:BRD-K26104851-001-15-3:10,nifuroxazide_10 uM_24 h,MCF7
2,PCL001_A549_24H:BRD-K17588104:0.04,JQ-1-R_0.04 uM_24 h,A549
3,CPD003_MCF7_24H:H20,chlorambucil_10 uM_24 h,MCF7
4,CPD001_PC3_24H:BRD-K13078532-001-21-9:10,hydrochlorothiazide_10 uM_24 h,PC3
5,DOSBIO001_NPC_24H:BRD-K45230579:9.95213,BRD-K45230579_10 uM_24 h,NPC
6,CVD001_HEPG2_24H:BRD-K36111658-001-01-1:10,BRD-K36111658_10 uM_24 h,HEPG2
7,TSAI001_221NPC1_XH:CI-994:10,CI-994_10 uM_,NPC
8,POL001_MCF7_24H:O07,JG-98_4 uM_24 h,MCF7
9,DOSBIO002_NPC_24H:BRD-K31112909:10.1401,BRD-K31112909_10 uM_24 h,NPC
10,CPD002_PC3_24H:BRD-K39987650-001-18-3:10,bisacodyl_10 uM_24 h,PC3
11,DOSBIO001_PC3_24H:BRD-K58860003:9.95458,SA-1921617_10 uM_24 h,PC3
12,CVD001_HEPG2_6H:BRD-K37865504-001-01-7:10,LY-2183240_10 uM_6 h,HEPG2
13,LPROT004_YAPC_6H:BRD-K68548958:25,C-646_25 uM_6 h,YAPC
14,AML001_CD34_6H:BRD-A19500257:10,geldanamycin_10 uM_6 h,CD34
15,PCL001_HEPG2_24H:BRD-K73255294:10,nutlin-3_10 uM_24 h,HEPG2
16,AML001_HL60_6H:BRD-K49071277:10,securinine_10 uM_6 h,HL60
17,CPD001_PC3_24H:BRD-K52256627-001-17-7:10,chlorhexidine_10 uM_24 h,PC3
18,AML001_HL60_6H:BRD-K71879491:10,tretinoin_10 uM_6 h,HL60
19,TAA001_SHSY5Y_24H:O08,JMV-2959_3.33 uM_24 h,SHSY5Y
20,PRISM001_PC3_6H:CMAP-PRISM-1B-PARENT:10,CMAP-PRISM-1B-PARENT_10 uM_6 h,PC3
21,PCL001_HCC515_24H:BRD-K21532219:3.33,UMB-32_3.33 uM_24 h,HCC515
22,NMH001_NPC_24H:D21,BRD-K40167599_10 uM_24 h,NPC
23,ERAM001_A549_24H:BRD-K90004018:20,BRD-K90004018_20 uM_24 h,A549
24,ERAM001_MCF7_24H:BRD-K88605167:20.03,BRD-K88605167_20 uM_24 h,MCF7
25,ERAM001_A549_24H:BRD-K88605167:20.03,BRD-K88605167_20 uM_24 h,A549
26,DOSBIO001_PC3_24H:BRD-K17139610:10.0402,BRD-K17139610_10 uM_24 h,PC3
27,DOSBIO002_MCF7_24H:BRD-K37184875:10.0483,BRD-K37184875_10 uM_24 h,MCF7
28,CPD001_PC3_24H:BRD-K85767870-002-11-9:10,BRD-K85767870_10 uM_24 h,PC3
29,PCL001_HA1E_24H:BRD-K21532219:10,UMB-32_10 uM_24 h,HA1E
30,ERAM001_MCF7_24H:BRD-K65290449:10,BRD-K65290449_10 uM_24 h,MCF7
31,MOA001_A549_24H:E21,BRD-K78727929_10 uM_24 h,A549
32,PCL001_MCF7_24H:BRD-K24821794:10,SGC-CBP30_10 uM_24 h,MCF7
33,CVD001_HEPG2_6H:BRD-K47977047-001-01-2:9.9355,BRD-K47977047_10 uM_6 h,HEPG2
34,CVD001_HEPG2_24H:BRD-K52785744-001-01-7:10.1671,BRD-K52785744_10 uM_24 h,HEPG2
35,ERAM001_A549_24H:BRD-K24238120:19.63,BRD-K24238120_20 uM_24 h,A549
36,KTOX002_HPTEC_6H:BRD-A91712064:1,BRD-A91712064_1.11 uM_6 h,HPTEC
37,LRS001_PHH.MGH_24H:D24,alisertib_1.11 uM_24 h,PHH
38,DOSBIO002_NPC_24H:BRD-K43540029:10.0137,BRD-K43540029_10 uM_24 h,NPC
39,MOA001_A549_24H:G15,harmine_10 uM_24 h,A549
40,CVD001_HEPG2_6H:BRD-K81164606-001-01-7:2.4586,BRD-K81164606_2.5 uM_6 h,HEPG2
41,POL001_MCF7_24H:H18,WYE-125132_0.04 uM_24 h,MCF7
42,PCL001_MCF7_24H:BRD-K21532219:10,UMB-32_10 uM_24 h,MCF7
43,DOSBIO002_NPC_24H:BRD-K20109053:10.0611,BRD-K20109053_10 uM_24 h,NPC
44,LRS001_PHH.MGH_24H:D07,AS-703026_10 uM_24 h,PHH
45,LPROT003_A549_6H:BRD-A13254067:1,okadaic-acid_1.11 uM_6 h,A549
46,HOG003_MCF7_6H:BRD-K68202742-001-10-8:0.3704,BRD-K68202742_0.37 uM_6 h,MCF7
47,CPD002_MCF7_24H:BRD-K04497194-001-01-3:10,BRD-K04497194_10 uM_24 h,MCF7
48,DOSBIO002_A549_24H:BRD-K12411950:10.1375,BRD-K12411950_10 uM_24 h,A549
49,PCL001_MCF7_24H:BRD-K40328231:10,BRD-K40328231_10 uM_24 h,MCF7
50,CVD001_PHH_24H:BRD-K46123637-001-01-0:10.0354,BRD-K46123637_10 uM_24 h,PHH
51,DOSBIO002_NPC_24H:BRD-K14352739:10.1001,BRD-K14352739_10 uM_24 h,NPC
52,NMH001_NPC_6H:BRD-K76894938-001-01-5:10,CHIR-99021_10 uM_6 h,NPC
53,PCL001_HEPG2_24H:BRD-K93425199:3.33,BRD-K93425199_3.33 uM_24 h,HEPG2
54,DOSBIO001_NPC_24H:BRD-K26484692:10.1375,BRD-K26484692_10 uM_24 h,NPC
55,ERAM001_MCF7_24H:BRD-K34990278:1.32,BRD-K34990278_1.25 uM_24 h,MCF7
56,PCL001_HA1E_24H:BRD-K25167492:10,BRD-K25167492_10 uM_24 h,HA1E
57,KTOX002_HPTEC_6H:BRD-A58767537:10,afatinib_10 uM_6 h,HPTEC
58,HOG001_A549_24H:BRD-K74402642-003-01-2:3.3333,NSC-632839_3.33 uM_24 h,A549
59,ABY001_SKBR3_XH:BRD-K81418486:0.625:24,vorinostat_0.66 uM_24 h,SKBR3
60,MOA001_A549_24H:I21,necrosulfonamide_10 uM_24 h,A549
61,ERAM001_A549_24H:BRD-M90295809:20.01,BRD-M90295809_20 uM_24 h,A549
62,ERAM001_MCF7_24H:BRD-K16837150:20.05,BRD-K16837150_20 uM_24 h,MCF7
63,KHW001_U937_6H:BRD-K14482023-001-01-0:10,K1448_10 uM_6 h,U937
64,CEGS001_NPC.177_24H:H22,topotecan_3.33 uM_24 h,NPC
65,CPD001_PC3_24H:BRD-A55424491-001-13-2:10,methotrexate_10 uM_24 h,PC3
66,DOSBIO002_PC3_24H:BRD-K10211010:10.0569,BRD-K10211010_10 uM_24 h,PC3
67,KTOX002_HPTEC_6H:BRD-A50590638:10,BRD-A50590638_10 uM_6 h,HPTEC
68,DOSBIO001_MCF7_24H:BRD-K98626176:9.95305,BRD-K98626176_10 uM_24 h,MCF7
69,PCL001_MCF7_24H:BRD-K50817946:3.33,BRD-K50817946_3.33 uM_24 h,MCF7
70,CEGS001_NPC.215_24H:P22,valproic-acid_625 uM_24 h,NPC
71,PCL001_HCC515_24H:BRD-K93425199:3.33,BRD-K93425199_3.33 uM_24 h,HCC515
72,NMH002_FIBRNPC_24H:BRD-K08807999-001-01-6:10,NO-ASA_10 uM_24 h,NPC
73,HOG003_A549_6H:BRD-K22503835-001-06-0:0.3704,scriptaid_0.37 uM_6 h,A549
74,DOSBIO002_PC3_24H:BRD-K87838848:9.99211,BRD-K87838848_10 uM_24 h,PC3
75,LCP001_MCF10A.WT_3H:B07,filgotinib_10 uM_3 h,MCF10A
76,DOSBIO001_NPC_24H:BRD-K28934562:10.0731,BRD-K28934562_10 uM_24 h,NPC
77,CEGS001_NPC.177_24H:C01,17-AAG_10 uM_24 h,NPC
78,LCP001_MCF10A.WT_24H:I24,GSK-1838705A_1.11 uM_24 h,MCF10A
79,DOSBIO001_MCF7_24H:BRD-K39504007:9.66346,BRD-K39504007_10 uM_24 h,MCF7
80,LPROT004_YAPC_6H:BRD-A13254067:1,okadaic-acid_1.11 uM_6 h,YAPC
81,CPD002_PC3_24H:BRD-K96390176-001-01-1:10,calcipotriol_10 uM_24 h,PC3
82,DOSBIO001_PC3_24H:BRD-K73008154:9.91582,BRD-K73008154_10 uM_24 h,PC3
83,DOSBIO001_MCF7_24H:BRD-K67787765:10.0032,BRD-K67787765_10 uM_24 h,MCF7
84,AML001_HL60_6H:BRD-A75409952:10,wortmannin_10 uM_6 h,HL60
