,model_pearsonHA1E,model_pearsonPC3,model_spearHA1E,model_spearPC3,model_accHA1E,model_accPC3,recon_pear_ha1e,recon_pear_pc3,recon_spear_ha1e,recon_spear_pc3,recon_acc_ha1e,recon_acc_pc3,cross_corr_ha1e,cross_corr_pc3,Direct_pearson,Direct_spearman,DirectAcc_ha1e,DirectAcc_pc3
0,0.47118693590164185,0.49248698353767395,0.3968007715397813,0.401173045517788,0.6419639584422452,0.6372980248649492,0.8428571224212646,0.8568804860115051,0.8195904573350021,0.8378470843195983,0.8244535093434557,0.8317658612126191,0.4147035479545593,0.3777853846549988,0.2947435975074768,0.27606533295265984,0.5935379974642319,0.5935379974642319
1,0.49028486013412476,0.48471933603286743,0.4019719282965,0.4050703472151668,0.6420601013105474,0.6417836905641784,0.8473295569419861,0.865250289440155,0.8196658449237971,0.8329071846986918,0.8242816539663654,0.828442064908454,0.38239148259162903,0.3922468423843384,0.3503803312778473,0.31528465636093594,0.6098762761463534,0.6098762761463534
2,0.5760915279388428,0.53670334815979,0.4405360234887382,0.4241856383957666,0.6560759288302418,0.6434661907594685,0.8460836410522461,0.8533035516738892,0.8073346203607571,0.8300655013213113,0.8144575696628047,0.8262985939963928,0.3786722719669342,0.39826691150665283,0.337028831243515,0.28246581885320887,0.5944423413192003,0.5944423413192003
3,0.47735530138015747,0.5127723813056946,0.3774104963826172,0.4186193800020804,0.6343115870183091,0.6468672447256624,0.8448125720024109,0.8701066374778748,0.8096866628514445,0.8596010263683472,0.8169881873034759,0.8499131954983064,0.3986303210258484,0.36479127407073975,0.3484990894794464,0.3127216656515044,0.6076109098119805,0.6076109098119805
4,0.6364268660545349,0.6012909412384033,0.4453829535999512,0.49672014852380353,0.6659065371141516,0.6753345471370457,0.8864847421646118,0.8908929228782654,0.8476850887211234,0.8675439725322547,0.8404218955081537,0.8523622020690093,0.4964185357093811,0.41849836707115173,0.3832576274871826,0.3137478586997966,0.6117841111892273,0.6117841111892273
5,0.4885021150112152,0.486593633890152,0.423470568713448,0.39475111902994836,0.653456035669004,0.6325089082376412,0.8539124727249146,0.8822586536407471,0.8409563728104248,0.8624631514147539,0.8347468910229172,0.8469482181133409,0.4224744439125061,0.3513460159301758,0.32032954692840576,0.2592670257481762,0.5859216796159092,0.5859216796159092
6,0.40132880210876465,0.46089571714401245,0.31944476290535184,0.37848711622362213,0.6096329145109632,0.6279030639530342,0.859170138835907,0.8765940070152283,0.8373579763244611,0.860304241284558,0.8334513658725439,0.8459634895004997,0.39062729477882385,0.36298584938049316,0.2690584361553192,0.22449735544117713,0.5745287497220869,0.5745287497220869
7,0.3699879050254822,0.42584219574928284,0.3131483625118359,0.35719411654342953,0.6070911374302214,0.6207193890120719,0.8499135375022888,0.8687918782234192,0.8265740956292024,0.8549046840875417,0.8266555243949653,0.8433067456607866,0.3464972674846649,0.32677799463272095,0.3091377913951874,0.26040072529378133,0.589316724652834,0.589316724652834
8,0.45648446679115295,0.42422330379486084,0.3938780430468673,0.3503780857897415,0.6364748015551109,0.6130129372247158,0.8594304323196411,0.8730247020721436,0.8371152321258,0.8526404041689015,0.8315354616960805,0.8398999893433479,0.36223551630973816,0.37979453802108765,0.2982670068740845,0.2527786197678285,0.5835902150595785,0.5835902150595785
9,0.4478726387023926,0.4626527726650238,0.3546846680851399,0.3717998684360453,0.6179342502959397,0.617687884195915,0.8477120995521545,0.8556013107299805,0.8300714900895184,0.8399959881834892,0.82810779675741,0.8327883602380075,0.3563902676105499,0.40119048953056335,0.2685238718986511,0.23090945748852568,0.5720290351462273,0.5720290351462273
